# ell, fid_Cl_tt, fid_Cl_te, fid_Cl_ee
2.740000000000000000e+02 4.096391439303362914e-01 8.124137396186963470e-03 4.110130258843587873e-04
2.750000000000000000e+02 4.043280472197173792e-01 8.162936644488145987e-03 4.191518556414593633e-04
2.760000000000000000e+02 3.990551988689093332e-01 8.198821396701645725e-03 4.273314952618591169e-04
2.770000000000000000e+02 3.938209234072885256e-01 8.231810633842172320e-03 4.355484073797411177e-04
2.780000000000000000e+02 3.886255453642312729e-01 8.261923336924426736e-03 4.437990546292883273e-04
2.790000000000000000e+02 3.834693892691139472e-01 8.289178486963118611e-03 4.520798996446839238e-04
2.800000000000000000e+02 3.783527796513128649e-01 8.313595064972950643e-03 4.603874050601107601e-04
2.810000000000000000e+02 3.732760410402043982e-01 8.335192051968625532e-03 4.687180335097520145e-04
2.820000000000000000e+02 3.682394979651647526e-01 8.353988428964852914e-03 4.770682476277905942e-04
2.830000000000000000e+02 3.632434749555703557e-01 8.370003176976332018e-03 4.854345100484095147e-04
2.840000000000000000e+02 3.582882965407975240e-01 8.383255277017775953e-03 4.938132834057918459e-04
2.850000000000000000e+02 3.533742872502226295e-01 8.393763710103882211e-03 5.022010303341207117e-04
